ano,mes,sexo,faixa_etaria,categoria,total_vendido
2014,1,1,ADULTO_TRABALHADOR,ANSIOLITICO,77460
2014,1,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,71200
2014,1,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,33202
2014,1,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,34866
2014,1,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,33239
2014,1,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17688
2014,1,1,IDOSO,ANSIOLITICO,39075
2014,1,1,IDOSO,ANTIDEPRESSIVO,27341
2014,1,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,11691
2014,1,1,JOVEM_ADULTO,ANSIOLITICO,4474
2014,1,1,JOVEM_ADULTO,ANTIDEPRESSIVO,4588
2014,1,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,3332
2014,1,2,ADULTO_TRABALHADOR,ANSIOLITICO,118602
2014,1,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,112474
2014,1,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,33000
2014,1,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,25711
2014,1,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,29158
2014,1,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,9798
2014,1,2,IDOSO,ANSIOLITICO,64558
2014,1,2,IDOSO,ANTIDEPRESSIVO,44666
2014,1,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,13045
2014,1,2,JOVEM_ADULTO,ANSIOLITICO,6359
2014,1,2,JOVEM_ADULTO,ANTIDEPRESSIVO,6656
2014,1,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2619
2014,2,1,ADULTO_TRABALHADOR,ANSIOLITICO,74441
2014,2,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,70035
